Ticker,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez,setor,,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,,,,,aqui
AGRO3,,,,,,,,,,OK,,,AGRO,Acao,,,,,,,,,,,,OUT /,,,OUT /,,,,
SLCE3,,,,OK,OK,,,,,,,OK,AGRO,Acao,,,,,,ABR /,MAI /,,,,,,,DEZ,ABR /MAI /DEZ,,,,
ABCB4,,,,,,OK,,,,,,OK,BANCO,Acao,,,,,,,,JUN /,,,,,,DEZ,JUN /DEZ,,,,
BBAS3,,OK,OK,,OK,OK,,OK,OK,,OK,OK,BANCO,Acao,,,,FEV /,MAR /,,MAI /,JUN /,,AGO /,SET /,,NOV /,DEZ,FEV /MAR /MAI /JUN /AGO /SET /NOV /DEZ,,,,
BBDC4,,OK,,,,OK,,,,,,OK,BANCO,Acao,,,,FEV /,,,,JUN /,,,,,,DEZ,FEV /JUN /DEZ,,,,
BRSR6,,OK,,,OK,,,OK,,OK,,OK,BANCO,Acao,,,,FEV /,,,MAI /,,,AGO /,,OUT /,,DEZ,FEV /MAI /AGO /OUT /DEZ,,,,
ITUB4,,OK,,,,,OK,,,,,,BANCO,Acao,,,,FEV /,,,,,JUL /,,,,,,FEV /JUL /,,,,
SANB11,,OK,,OK,,,OK,,,OK,,OK,BANCO,Acao,,,,FEV /,,ABR /,,,JUL /,,,OUT /,,DEZ,FEV /ABR /JUL /OUT /DEZ,,,,
SANB4,,OK,,OK,,,OK,,,OK,,OK,BANCO,Acao,,,,FEV /,,ABR /,,,JUL /,,,OUT /,,DEZ,FEV /ABR /JUL /OUT /DEZ,,,,
ALUP11,,,,OK,,,,,,,,OK,ELETRICO,Acao,,,,,,ABR /,,,,,,,,DEZ,ABR /DEZ,,,,
CMIG4,,,,OK,,,,,OK,,,OK,ELETRICO,Acao,,,,,,ABR /,,,,,SET /,,,DEZ,ABR /SET /DEZ,,,,
COCE3,,,,OK,,,,,,,,,ELETRICO,Acao,,,,,,ABR /,,,,,,,,,ABR /,,,,
CPLE6,,,,OK,,,,,,,,OK,ELETRICO,Acao,,,,,,ABR /,,,,,,,,DEZ,ABR /DEZ,,,,
EGIE3,,OK,,OK,,,OK,,,,OK,OK,ELETRICO,Acao,,,,FEV /,,ABR /,,,JUL /,,,,NOV /,DEZ,FEV /ABR /JUL /NOV /DEZ,,,,
ELET6,,,,OK,,,,,,,,,ELETRICO,Acao,,,,,,ABR /,,,,,,,,,ABR /,,,,
ENGI11,,OK,,,,,,OK,,,,,ELETRICO,Acao,,,,FEV /,,,,,,AGO /,,,,,FEV /AGO /,,,,
EQTL3,,,,OK,,,,,,,,,ELETRICO,Acao,,,,,,ABR /,,,,,,,,,ABR /,,,,
ISAE4,,,,OK,,,OK,,,OK,,OK,ELETRICO,Acao,,,,,,ABR /,,,JUL /,,,OUT /,,DEZ,ABR /JUL /OUT /DEZ,,,,
TAEE11,,,,,OK,,,OK,,,OK,OK,ELETRICO,Acao,,,,,,,MAI /,,,AGO /,,,NOV /,DEZ,MAI /AGO /NOV /DEZ,,,,
TAEE4,,,,OK,OK,,,OK,,,OK,OK,ELETRICO,Acao,,,,,,ABR /,MAI /,,,AGO /,,,NOV /,DEZ,ABR /MAI /AGO /NOV /DEZ,,,,
BRAP4,,,,OK,,,,,,,,OK,HOLDING,Acao,,,,,,ABR /,,,,,,,,DEZ,ABR /DEZ,,,,
ITSA4,,OK,,,OK,,,OK,,,,OK,HOLDING,Acao,,,,FEV /,,,MAI /,,,AGO /,,,,DEZ,FEV /MAI /AGO /DEZ,,,,
FESA4,,,,,OK,,,OK,,,OK,OK,METALURGICO,Acao,,,,,,,MAI /,,,AGO /,,,NOV /,DEZ,MAI /AGO /NOV /DEZ,,,,
CMIN3,,,,OK,,,OK,,,,,OK,MINERACAO,Acao,,,,,,ABR /,,,JUL /,,,,,DEZ,ABR /JUL /DEZ,,,,
VALE3,,OK,,,,,OK,,,,,,MINERACAO,Acao,,,,FEV /,,,,,JUL /,,,,,,FEV /JUL /,,,,
KLBN11,,OK,,OK,,,OK,,,OK,,,PAPEL/ CELULOSE,Acao,,,,FEV /,,ABR /,,,JUL /,,,OUT /,,,FEV /ABR /JUL /OUT /,,,,
KLBN4,,OK,,OK,,,OK,,,OK,,,PAPEL/CELULOSE,Acao,,,,FEV /,,ABR /,,,JUL /,,,OUT /,,,FEV /ABR /JUL /OUT /,,,,
PETR4,,OK,,,OK,,,OK,,OK,,,PETROLEO,Acao,,,,FEV /,,,MAI /,,,AGO /,,OUT /,,,FEV /MAI /AGO /OUT /,,,,
PRIO3,,,,,,,,,,,,,PETROLEO,Acao,,,,,,,,,,,,,,,,,,,
UNIP6,,,,OK,,,,,,,,,QUIMICO,Acao,,,,,,ABR /,,,,,,,,,ABR /,,,,
CSMG3,,,OK,,OK,,,,OK,,OK,,SANEAMENTOSA,Acao,,,,,MAR /,,MAI /,,,,SET /,,NOV /,,MAR /MAI /SET /NOV /,,,,
SAPR11,,,,,,,OK,,,,,OK,SANEAMENTOSA,Acao,,,,,,,,,JUL /,,,,,DEZ,JUL /DEZ,,,,
SAPR4,,,,,,,OK,,,,,OK,SANEAMENTOSA,Acao,,,,,,,,,JUL /,,,,,DEZ,JUL /DEZ,,,,
BBSE3,,OK,,,,,,OK,,,,,SEGURO,Acao,,,,FEV /,,,,,,AGO /,,,,,FEV /AGO /,,,,
CXSE3,OK,,,OK,,,,OK,,OK,OK,,SEGURO,Acao,,,JAN /,,,ABR /,,,,AGO /,,OUT /,NOV /,,JAN /ABR /AGO /OUT /NOV /,,,,
VIVT3,,OK,,OK,,OK,,,OK,,,OK,TELEFONIA,Acao,,,,FEV /,,ABR /,,JUN /,,,SET /,,,DEZ,FEV /ABR /JUN /SET /DEZ,,,,
CPFE3,,,,OK,,,,OK,,,,,,Acao,,,,,,ABR /,,,,AGO /,,,,,ABR /AGO /,,,,
AZIN11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
BDIF11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
BIDB11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
BTCI11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
CACR11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
CDII11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
CPTI11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
CPTS11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
FGAA11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
GAME11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
GARE11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
HABT11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
IFRA11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
JURO11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
KNSC11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
MCRE11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
MXRF11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
PORD11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
RURA11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
RZAG11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
SNAG11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
VGHF11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
VGIA11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FII,FII,,,JAN /,FEV /,MAR /,ABR /,MAI /,JUN /,JUL /,AGO /,SET /,OUT /,NOV /,DEZ,JAN /FEV /MAR /ABR /MAI /JUN /JUL /AGO /SET /OUT /NOV /DEZ,,,,
